t_ms,rate_hz
0.0,0.0
0.1,58.4
0.2,79.2
0.30000000000000004,100.0
0.4,101.6
0.5,93.6
0.6000000000000001,107.2
0.7,88.8
0.8,112.8
0.9,97.6
1.0,116.8
1.1,114.4
1.2000000000000002,94.4
1.3,118.4
1.4,96.0
1.5,125.6
1.6,106.4
1.7000000000000002,164.8
1.8,207.2
1.9,323.2
2.0,152.0
2.1,60.8
2.2,110.4
2.3,80.8
2.4000000000000004,112.0
2.5,73.6
2.6,73.6
2.7,16.0
2.8,28.0
2.9000000000000004,39.2
3.0,28.0
3.1,58.4
3.2,44.0
3.3,107.2
3.4000000000000004,56.0
3.5,84.0
3.6,23.2
3.7,8.8
3.8,8.8
3.9000000000000004,20.0
4.0,10.4
4.1000000000000005,10.4
4.2,21.6
4.3,9.6
4.4,8.8
4.5,10.4
4.6,13.6
4.7,29.6
4.800000000000001,24.0
4.8999999999999995,32.8
5.0,11.2
5.1000000000000005,20.0
5.2,18.4
5.3,9.6
5.4,9.6
5.5,25.6
5.6,13.6
5.7,19.2
5.800000000000001,28.0
5.8999999999999995,19.2
6.0,22.4
6.1000000000000005,20.0
6.2,24.0
6.3,22.4
6.4,45.6
6.5,60.8
6.6,22.4
6.7,18.4
6.800000000000001,24.0
6.9,13.6
7.0,20.0
7.1000000000000005,34.4
7.2,4.8
7.3,21.6
7.4,42.4
7.5,32.0
7.6,34.4
7.7,23.2
7.800000000000001,21.6
7.9,27.2
8.0,19.2
8.1,44.0
8.200000000000001,38.4
8.3,18.4
8.4,38.4
8.5,40.8
8.6,36.8
8.700000000000001,43.2
8.8,24.0
8.9,32.8
9.0,77.6
9.1,67.2
9.2,65.6
9.3,44.8
9.4,80.0
9.5,76.0
9.600000000000001,67.2
9.7,112.8
9.799999999999999,112.0
9.9,45.6
10.0,100.0
10.100000000000001,89.6
10.200000000000001,57.6
10.3,44.0
10.4,20.8
10.5,27.2
10.6,41.6
10.700000000000001,55.2
10.8,46.4
10.9,66.4
11.0,56.8
11.1,64.8
11.2,60.8
11.3,18.4
11.4,28.0
11.5,7.2
11.600000000000001,8.0
11.7,12.8
11.799999999999999,4.0
11.9,6.4
12.0,4.0
12.100000000000001,8.8
12.200000000000001,14.4
12.3,36.0
12.4,28.8
12.5,36.8
12.6,18.4
12.700000000000001,37.6
12.8,22.4
12.9,6.4
13.0,16.8
13.1,12.8
13.2,12.0
13.3,21.6
13.4,14.4
13.5,22.4
13.600000000000001,20.8
13.7,27.2
13.8,44.8
13.9,38.4
14.0,39.2
14.100000000000001,33.6
14.200000000000001,22.4
14.3,20.0
14.4,35.2
14.5,17.6
14.6,22.4
14.700000000000001,14.4
14.8,34.4
14.9,20.8
15.0,32.8
15.1,21.6
15.2,22.4
15.3,53.6
15.4,41.6
15.5,36.8
15.600000000000001,57.6
15.700000000000001,51.2
15.8,43.2
15.9,59.2
16.0,51.2
16.099999999999998,36.8
16.2,42.4
16.3,31.2
16.400000000000002,52.0
16.5,36.0
16.6,62.4
16.7,31.2
16.8,21.6
16.900000000000002,52.8
17.0,44.8
17.1,47.2
17.2,52.8
17.3,78.4
17.400000000000002,36.8
17.5,36.0
17.6,60.8
17.7,66.4
17.8,91.2
17.9,43.2
18.0,40.8
18.1,34.4
18.2,53.6
18.3,48.0
18.4,26.4
18.500000000000004,57.6
18.6,38.4
18.7,28.0
18.8,49.6
18.9,64.8
19.0,31.2
19.1,45.6
19.200000000000003,59.2
19.3,22.4
19.4,32.0
19.5,13.6
19.599999999999998,20.0
19.700000000000003,28.8
19.8,37.6
19.900000000000002,28.8
20.0,16.0
20.099999999999998,20.8
20.200000000000003,21.6
20.3,11.2
20.400000000000002,23.2
20.5,28.8
20.6,20.0
20.7,9.6
20.8,46.4
20.900000000000002,12.0
21.0,6.4
21.1,15.2
21.2,3.2
21.3,12.0
21.400000000000002,18.4
21.5,28.8
21.6,24.8
21.7,26.4
21.8,19.2
21.9,24.0
22.0,24.8
22.1,36.0
22.2,36.0
22.3,47.2
22.4,20.8
22.500000000000004,15.2
22.6,17.6
22.7,31.2
22.8,9.6
22.9,26.4
23.0,33.6
23.1,36.0
23.200000000000003,38.4
23.3,44.8
23.4,36.8
23.5,24.0
23.599999999999998,48.8
23.700000000000003,56.8
23.8,83.2
23.900000000000002,68.8
24.0,52.8
24.099999999999998,58.4
24.200000000000003,27.2
24.3,92.0
24.400000000000002,70.4
24.5,92.0
24.6,51.2
24.7,60.8
24.8,80.0
24.900000000000002,117.6
25.0,66.4
25.1,56.8
25.2,63.2
25.3,129.6
25.400000000000002,86.4
25.5,61.6
25.6,80.0
25.7,40.0
25.8,35.2
25.900000000000002,46.4
26.0,47.2
26.1,68.0
26.2,57.6
26.3,63.2
26.4,47.2
26.500000000000004,56.8
26.6,44.8
26.7,59.2
26.8,21.6
26.9,39.2
27.0,20.0
27.1,36.8
27.200000000000003,84.8
27.3,51.2
27.4,21.6
27.5,28.0
27.6,44.8
27.700000000000003,21.6
27.8,18.4
27.900000000000002,36.8
28.0,25.6
28.099999999999998,15.2
28.200000000000003,22.4
28.3,9.6
28.400000000000002,5.6
28.5,20.0
28.6,15.2
28.7,20.8
28.8,57.6
28.900000000000002,46.4
29.0,40.0
29.1,49.6
29.2,52.8
29.300000000000004,24.8
29.400000000000002,24.0
29.5,29.6
29.6,25.6
29.7,15.2
29.8,24.8
29.900000000000002,13.6
30.0,19.2
30.1,45.6
30.2,40.0
30.3,39.2
30.4,68.8
30.500000000000004,47.2
30.6,71.2
30.7,36.8
30.8,41.6
30.9,35.2
31.0,30.4
31.1,64.8
31.200000000000003,34.4
31.3,21.6
31.400000000000002,21.6
31.5,14.4
31.6,14.4
31.7,14.4
31.8,32.0
31.900000000000006,19.2
32.0,23.2
32.1,22.4
32.199999999999996,27.2
32.300000000000004,19.2
32.4,35.2
32.5,12.0
32.6,20.8
32.699999999999996,34.4
32.800000000000004,38.4
32.9,21.6
33.0,28.8
33.1,28.0
33.2,17.6
33.300000000000004,16.0
33.4,15.2
33.5,8.0
33.6,27.2
33.7,13.6
33.800000000000004,41.6
33.9,18.4
34.0,29.6
34.099999999999994,20.0
34.2,20.0
34.300000000000004,12.8
34.4,36.8
34.5,17.6
34.6,44.8
34.7,28.8
34.800000000000004,21.6
34.9,41.6
35.0,42.4
35.1,34.4
35.2,76.0
35.300000000000004,52.8
35.4,46.4
35.5,48.8
35.6,37.6
35.7,19.2
35.8,32.8
35.9,30.4
36.0,45.6
36.1,38.4
36.2,54.4
36.3,48.8
36.4,37.6
36.50000000000001,59.2
36.6,37.6
36.7,64.0
36.8,66.4
36.9,24.0
37.00000000000001,45.6
37.1,46.4
37.2,34.4
37.3,25.6
37.4,38.4
37.5,61.6
37.6,53.6
37.7,48.8
37.8,60.8
37.900000000000006,57.6
38.0,60.8
38.1,128.0
38.2,75.2
38.3,45.6
38.400000000000006,38.4
38.5,32.8
38.6,49.6
38.7,48.8
38.8,29.6
38.900000000000006,20.8
39.0,51.2
39.1,82.4
39.199999999999996,39.2
39.300000000000004,50.4
39.400000000000006,32.8
39.5,27.2
39.6,31.2
39.699999999999996,65.6
39.800000000000004,36.0
39.900000000000006,21.6
40.0,11.2
40.1,20.0
40.199999999999996,40.8
40.300000000000004,26.4
40.400000000000006,29.6
40.5,15.2
40.6,36.8
40.699999999999996,78.4
40.800000000000004,45.6
40.9,28.0
41.0,38.4
